Title,Publisher,Description,Paid,Downloads,Views,Likes,Price,Link
Dinosaur Footprint,Professor Dominic Powlesland,"['It appears I wrongly attributed this to a Diplodocus when I first modelled it, I was wrong, it appears it is to be the huge footprint from a Brachiosaurus. \nA single Dinosaur footprint measuring 0.9 metres across near  Purbeck, Dorset. A series of small impressions c.10cm across running around the edge have been interpreted as the footprints of an infant dinosaur.', 'This model was created to secure a detailed an precise 3D record of the footprints which could be shared around the world. To read more about the footprints follow this link http://www.landscaperesearchcentre.org/wp/?p=113']",0,119,3415,14,n/a,https://sketchfab.com/3d-models/dinosaur-footprint-0d1a34d4b027443f805aae6b83e75c5b
Triceratops,DailyArt,"['A genus of herbivorous dinosaurs of the subfamily ceratophoridae, found in the late Cretaceous late Maastrichtian strata of North America, about 68 million to 65 million years ago. Triceratops, one of the latest dinosaurs, are often regarded as the representative fossils of the late Cretaceous. At present, there are two effective species: Triceratops and Triceratops, but other genera have been named. Triceratops are also one of the most famous dinosaurs. They are also very popular in popular culture.']",0,5821,21276,425,n/a,https://sketchfab.com/3d-models/triceratops-909bf645de1746829ab19acd1ae31767
Juvenile Triceratops Fossil,PhotoGramGear,"['From the Triceratops Horridus family.\nReprocessed an old set of photos, then baked and reduced it down to a realtime asset.']",1,n/a,1861,35,$25 ,https://sketchfab.com/3d-models/juvenile-triceratops-fossil-51b6e27147b043ef9fb266a7cda57e35
Dinosaur Skull (Untextured),LingthyManThatExists,"['It’s a dinosaur skull. Specifically a T-Rex skull. (Model from the Paint 3D Library, i do not own anything in this model.)']",0,111,409,15,n/a,https://sketchfab.com/3d-models/dinosaur-skull-untextured-30be129238814c6cb8db39c82d3cee07
Fossil Dinosaur Bone,MADD Designs,['An unkown dinosaur fossil bone.Found in the Dakota Badlands.\nPossiby a partial hadrosaur vertebre.\nMeasures  7” X 6” X 4” And Weighs 6 LBS 13 OZ'],1,n/a,115,1,$4.99 ,https://sketchfab.com/3d-models/fossil-dinosaur-bone-3f6713593072415db845adfab1618968
Tyrannosaurus Fossil,mtaesiri,['The Royal Tyrrell Museum of Palaeontology'],0,56,256,8,n/a,https://sketchfab.com/3d-models/tyrannosaurus-fossil-54b0956c5a6342cebc37852d801890e2
Zuniceratops Fossil,PhotoGramGear,"['Similiar to the triceratops the zuniceratops that had soft tissue on its head and was much smaller than average at around 2.2 meters in length. Zuniceratops is an example of the evolutionary transition between early ceratopsians and the later, larger ceratopsids that had very large horns and frills. This supports the theory that the lineage of ceratopsian dinosaurs may have been North American in origin.']",1,n/a,876,16,$55 ,https://sketchfab.com/3d-models/zuniceratops-fossil-62fd20bbf23c4b848192bb942f991c03
Mosasaur Fossil,ESUEarthSci,"['A description about this fossil, which is located in  the Johnston Geology Museum at Emporia State University:\nThis specimen was collected during the summer of 1967 two miles north of Elkader, KS, in SW Gove Co. It was found by a groupd of elementary teachers while on a field trip to Western KS as part of a science enrichment program under the auspices of the Flint Hills Elementary Science Project funded by the U.S. Office of Education, Department of Health, Education, and Welfare.\nMosasaurs were elongate, lizard-like reptiles that were fully adapted for marine life. A snake like characteristic is seen in the structure of the jaw which is held to the skull by ligaments only. This gave freedom of movement at the back of the jaw and assisted in  swallowing large objects.....\nPart of the Cretaceous.', 'Background photo found at: https://phys.org/news/2018-10-ancient-fish-evolved-shallow-seas.html']",0,127,1177,15,n/a,https://sketchfab.com/3d-models/mosasaur-fossil-0e33035bf91748f39d8a261a31cc22da
Ancient Rhino Fossil,Austin Beaulier,"['I forgot to get a picutre of the info :(', 'taken at the houston museum on natural science\nhmns.org', 'taken by \naustinbeaulier.com']",0,596,2292,45,n/a,https://sketchfab.com/3d-models/ancient-rhino-fossil-625d1672538240e994fb4dcc80a493db
Dinosaur Bones,Tom Johnson,"['this model is decimated and polypainted but no retopo/textures yet.', 'see more of my work on my website and instagram:', 'https://www.tomjohnsonart.co.uk/', 'https://www.instagram.com/tomjohnsonart/']",1,n/a,441,18,$60 ,https://sketchfab.com/3d-models/dinosaur-bones-1c8a498dc5aa4240b8955e1d469dcf8d
Trilobite Fossil Photogrammetry Scan,Austin Beaulier,"['Trilobites are a fossil group of extinct marine arachnomorph arthropods that form the class Trilobita. Trilobites form one of the earliest known groups of arthropods', 'Taken by Austin Beaulier']",0,270,1352,20,n/a,https://sketchfab.com/3d-models/trilobite-fossil-photogrammetry-scan-477033de933143009660bb72e6f3c6fd
Velociraptor Fossil,Polygon Artisan,"['Velociraptor Fossil, ready for 3d printing.']",1,n/a,726,7,$8 ,https://sketchfab.com/3d-models/velociraptor-fossil-bde607338c1d4b1fa5b85db36cfbd87e
Xiphactinus Audax Fossil Skull,Free 3D Models,['XIPHACTINUS AUDAX Fossil Skull photogrammetry model.  More models:  -link removed-'],0,149,750,17,n/a,https://sketchfab.com/3d-models/xiphactinus-audax-fossil-skull-9f26fe5bc6be4ee790283c9d22df7cb3
DINOSAUR FOSSIL EDMONTOSAURUS FEMUR,Free 3D Models,"['“Edmontosaurus Femur” ', 'Huge Specimen', 'Really nice quality bone patina.  A real treat of a specimen.', 'The Duck Billed Dinosaur Edmontosaurus compared in size to Tyrannosaurus Rex', 'There was a piece of the end bone still connected, but separated from the bone by matrix.']",0,45,273,1,n/a,https://sketchfab.com/3d-models/dinosaur-fossil-edmontosaurus-femur-0465a4f71f144736a369909c638d7351
ERLIKOSAURUS SKULL AND JAW,ramon.gonzalez.cabrera,"['Erlikosaurus is a genus of herbivorous theropod dinosaur from the late Cretaceous Period, belonging to the Therizinosauridae. Its fossils, \n were found in the Bayan Shireh Formation of Mongolia, dating to around 90 million years ago.\nCitations:Lautenschlager S (2015) Estimating cranial musculoskeletal constraints in theropod dinosaurs. Royal Society Open Science 2: 150495. http://dx.doi.org/10.1098/rsos.150495\nLautenschlager S (2015) Data from: Estimating cranial musculoskeletal constraints in theropod dinosaurs. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.c75j9.\nThanks to S. Lautenschlager (http://eis.bris.ac.uk/~glzsl/home.html )and to  http://datadryad.org/ for sharing the original file.', 'For curious people.\nhttps://www.youtube.com/watch?v=HFlXcxiIZFU']",0,731,3897,102,n/a,https://sketchfab.com/3d-models/erlikosaurus-skull-and-jaw-dd9df0256dc642a1a2a56775805a36bf
Dinosaur Compy LowPoly Art,Oleg Shuldiakov,['Dinosaur Compy LowPoly Art'],1,n/a,270,10,$29 ,https://sketchfab.com/3d-models/dinosaur-compy-lowpoly-art-92099fe9e6dd4c378068ae3a616b4ed1
Hoplophoneus skull - miniature sabertooth cat,Badlands Dinosaur Museum,"['Skull of the miniature “false sabertooth cat” Hoplophoneus sp.: one of the top predators of the US Great Plains  ~30 million years ago in the Oligocene Epoch. It belonged to the Nimravidae which were closely related to cats, but not a “true” cat, having shorter, stockier legs & a shorter tail', 'Giant saber teeth (actually modified canines) have evolved a number of times in cat-like mammals and are thought to have been used to deliver a fast, precise bite to the neck, severing major blood vessels and causing death through loss of blood. Living big cats (like lions) have short, stout, canines, and kill by crushing the windpipe of their prey, causing death by asphyxiation', 'Scanned from an original fossil skull held in the collection of Badlands Dinosaur Museum, Dickinson Museum Center, Dickinson North Dakota. A public museum & registered non-profit:', 'http://dickinsonmuseumcenter.com/', 'File prepared by museum staff. Scan by A. Hendrix; optimized by D. Fowler. Created using a Revopoint Pop2 scanner']",0,474,2632,71,n/a,https://sketchfab.com/3d-models/hoplophoneus-skull-miniature-sabertooth-cat-72e99ed620104dc180cc376b8dad0e84
Edmontosaurus fossil skull,The_Model_Guy2.3,['Edmontosaurus skull'],0,89,448,17,n/a,https://sketchfab.com/3d-models/edmontosaurus-fossil-skull-92715619fb2b44849af36da71457ec15
3DRT Dinosaurs - Compsognathus,3DRT.com,"['Compsognathus - 1852 tris.\n1024x1024 .jpg textures. \nDiffuse, normal and specular maps included.\n22 animations:', '0-5 stand_pose\n10-160 idle_01\n170-400 idle_02\n410-710 idle_03\n720-890 idle_eat\n900-940 walk\n950-1000 walk_back\n1010-1030 run_fast\n1040-1060 run\n1070-1110 turn_right\n1120-1160 turn_left\n1170-1250 death\n1260-1300 attack_01\n1300-1360 attack_02\n1360-1420 head kick\n1420-1460 roar\n1470-1570 injured\n1580-1700 surprised\n1710-1810 sleep\n1820-1850 yes\n1850-1880 no\n1880-1900 ducking']",1,n/a,2441,21,$29 ,https://sketchfab.com/3d-models/3drt-dinosaurs-compsognathus-bb1b5ba717b8446db16700f4b0663402
Euoplocephalus - armored dinosaur - airway/brain,WitmerLab at Ohio University,"['This model is of the armored ankylosaurian ornithischian dinosaur Euoplocephalus tutus (AMNH FR 5405), showing the skull transparent to reveal the internal nasal passage and brain endocast. The main airway (yellow) loops through the snout (arrow); the large olfactory area (magenta) is in the back of the nasal cavity. The fossil was CT scanned at OhioHealth O’Bleness Hospital in Athens, Ohio, in 2005 as part of a research project, leading to publications in 2008 (http://bit.ly/2pp5V5C) and 2011 (http://bit.ly/2rCNCsT). This Sketchfab model was generated by Ryan Ridgely of WitmerLab and is derived from recent work done for the Smithsonian’s National Museum of Natural History for a new interactive exhibit. This research was funded in part by U.S. National Science Foundation grants to Witmer and Ridgely, and by the Ohio University Heritage College of Osteopathic Medicine.']",0,137,1824,18,n/a,https://sketchfab.com/3d-models/euoplocephalus-armored-dinosaur-airwaybrain-d88f5930107a4c84a9b2b714a2dfa20a
Dinosaur - Amber T-Rex - Sculpture,PTM Models,"['Gold Resin Sculpture : T-Rex', '3D Gold & Epoxy Resin Sculpture', 'Perfect For: ', 'This model includes 8K Resolution Texture Maps;  Incredible & realistic detail.', '–> COME GET MORE ON MY PAGE !!!']",0,198,1269,55,n/a,https://sketchfab.com/3d-models/dinosaur-amber-t-rex-sculpture-0fab02fe9a124c27879689e7c46f5557
Triceratops Baby Dinosaur Reptile,Nyilonelycompany,"['Triangles -12163\nFaces -6652\nEdges -12765\nVertices -6123', 'Diffuse, Metallic, Roughness , Normal Map ,Specular Map,AO', 'Triceratops is a genus of chasmosaurine ceratopsian dinosaur that lived during the late Maastrichtian age of the Late Cretaceous period, about 68 to 66 million years ago in what is now western North America. \nEats: Cycads, Palms\nFossils: Yoshi’s Trike, Raymond, AMNH 5039, Kelsey, Hatcher\nLived: 83.5 million years ago - 66 million years ago (Campanian - Maastrichtian)']",1,n/a,277,12,$50 ,https://sketchfab.com/3d-models/triceratops-baby-dinosaur-reptile-1497a9bb99a84ed9be4de89457607217
"Gorgosaurus Dinosaur - theNAT Museum, San Diego",TheDarkSunProject,"['A Gorgosaurus I attempted to scan while at theNAT museum, Balboa Park, San Diego California.', 'I did this one for fun as I knew it would be difficult to reconstruct', 'captured by Don Darkson @ 3DU 2015']",1,n/a,1719,26,$5 ,https://sketchfab.com/3d-models/gorgosaurus-dinosaur-thenat-museum-san-diego-b054ae39bb0d4c59b9e5487f2cc774c5
3DRT Dinosaurs - Quetzalcoatlus,3DRT.com,"['Quetzalcoatlus - 1638 tris.\n1024x1024 .jpg textures. \nDiffuse, normal and specular maps included.\n22 animations.', '0-5 stand_pose\n10-160 idle_01\n170-400 idle_02\n410-710 idle_03\n720-890 idle_eat\n900-940 walk\n950-1000 walk_back\n1010-1030 run_fast\n1035-1065 swim\n1070-1110 turn_right\n1120-1160 turn_left\n1170-1250 death\n1260-1300 attack_01\n1300-1360 attack_02\n1360-1420 butting_heads\n1420-1460 roar\n1470-1570 injured\n1580-1700 surprised\n1710-1810 sleep\n1850-1950 fly-start\n1950-2000 fly_01\n2010-2110 fly_02\n2110-2220 fly_end\n2220-2250 yes\n2250-2280 no\n2280-2300 ducking']",1,n/a,2056,22,$29 ,https://sketchfab.com/3d-models/3drt-dinosaurs-quetzalcoatlus-db42da13be35450aa16c946e9b6566a5
Stegosaurus,Geoffrey Marchal,"['Stegosaurus, (-150 million years), fossil and cast. Musée d’histoire naturelle (Brussels, Belgium). Made with Capturing Reality. ', 'Stegosaurus, from Greek stegos which means roof and sauros which means lizard, is a genus of thyreophoran dinosaur. Fossils of this genus date to the Late Jurassic period, about 155 to 150 millions years ago.', 'These were large, heavily built, herbivorous quadrupeds with rounded backs, short fore limbs, long hind limbs, and tails held high in the air. Due to their distinctive combination of broad, upright plates and tail tipped with spikes, Stegosaurus is one of the most recognizable kinds of dinosaur. The function of this array of plates and spikes has been the subject of much speculation among scientists. Today, it is generally agreed that their spiked tails were most likely used for defense against predators, while their plates may have been used primarily for display, and secondarily for thermoregulatory. ', 'For more updates, please follow me on Twitter at @GeoffreyMarchal.']",1,n/a,6645,171,$3.99 ,https://sketchfab.com/3d-models/stegosaurus-727c45b88c6c4f5d9db0bb95e857aaa0
3DRT Dinosaurs - Velociraptor,3DRT.com,"['Velociraptors - 1994 tris.\n1024x1024 .jpg textures. \nDiffuse, normal and specular maps included.\n22 animations.\n10 dinosaurs models:', 'Animations list:', '0-5 stand_pose\n10-160 idle_01\n170-400 idle_02\n410-710 idle_03\n720-890 idle_eat\n900-940 walk\n950-1000 walk_back\n1010-1030 run_fast\n1040-1060 run\n1070-1110 turn_right\n1120-1160 turn_left\n1170-1250 death\n1260-1300 attack_01\n1300-1360 attack_02\n1360-1420 head kick\n1420-1460 roar\n1470-1570 injured\n1580-1700 surprised\n1710-1810 sleep\n1820-1850 yes\n1850-1880 no\n1880-1900 ducking']",1,n/a,1711,12,$29 ,https://sketchfab.com/3d-models/3drt-dinosaurs-velociraptor-17d85ea5885f4c5ea4758a29b9df862b
Trace Fossil: Grallator Footprint (PRI 49745),Digital Atlas of Ancient Life,"['Fossil grallator type footprint from a three-toed bipedal dinosaur from the Late Triassic of Nyack, Rockland County, New York (PRI 49745). Specimen is part of the Paleontological Research Collections and on display at Museum of the Earth, Ithaca New York. Total length of rock is approximately 24 cm. Model by Jaleigh Pier.']",0,100,601,7,n/a,https://sketchfab.com/3d-models/trace-fossil-grallator-footprint-pri-49745-4da158eecea94d7cbce9f60ad6f7bbde
Eigg Dinosaur Bone,Matt Humpage,"['Fossil dinosaur limb bone, NMS G.2020.10.1, from the Isle of Eigg, Scotland. This bone is the first unequivocal dinosaur fossil found outside the Isle of Skye, and is described in Panciroli et al. (2020). It is Middle Jurassic in age. It belongs to a thyreophoran dinosaur, the same group that includes stegosaurs. Nicknamed ‘StEiggOsaurus’, this bone is probably a fibula (lower leg bone).']",0,40,8788,1,n/a,https://sketchfab.com/3d-models/eigg-dinosaur-bone-6e670b8f91e947d6860f14016540c7bb
Fossil Foot,bariacg,"['Dinosaur Footprint Fossil 3d model in cartoon style.       \n3ds max 2020 , FBX and OBJ files     ', 'Clean topology                      \nNon-Overlap UVs                      ', 'Texture include                     \n- Base Color                        \n- Normal                            \n- Roughness                         ', '2048x2048 PNG texture                ', '2,340 poly                          \n2,338 vert                          \nIn subdivision Level 0']",1,n/a,218,4,$4 ,https://sketchfab.com/3d-models/fossil-foot-05b3e58153e8411a847b68f7c831d6cd
